trip_id,route_num,date,stop_0,time_at_stop_0,time_from_stop_0_to_stop_1,stop_1,time_at_stop_1,time_from_stop_1_to_stop_2,stop_2,time_at_stop_2,time_from_stop_2_to_stop_3,stop_3,time_at_stop_3,time_from_stop_3_to_stop_4,stop_4,time_at_stop_4,,,2.610784314,3.065686275,2.025,3.285416667
190215,19,6/29/22,2375,8,126,2670,16,140,2674,16,116,2676,8,167,2376,4,,,,,,
190215,19,6/30/22,2375,32,158,2670,20,200,2674,24,120,2676,12,212,2376,8,,,,,,
190215,19,7/1/22,2375,16,157,2670,44,272,2674,20,128,2676,12,208,2376,8,,,,,,
190214,19,6/22/22,2375,12,149,2670,40,164,2674,32,124,2676,12,224,2376,12,,,,,,
190214,19,6/23/22,2375,12,184,2670,20,224,2674,28,124,2676,16,200,2376,8,,,,,,
190214,19,6/24/22,2375,16,167,2670,40,156,2674,44,128,2676,56,208,2376,12,,,,,,
190214,19,6/27/22,2375,12,145,2670,36,200,2674,16,104,2676,12,166,2376,8,,,,,,
190214,19,6/28/22,2375,12,153,2670,20,164,2674,20,124,2676,12,204,2376,12,,,,,,
190214,19,6/29/22,2375,12,177,2670,16,152,2674,20,108,2676,12,178,2376,8,,,,,,
190214,19,6/30/22,2375,56,185,2670,20,192,2674,24,152,2676,12,200,2376,8,,,,,,
190214,19,7/1/22,2375,60,161,2670,20,176,2674,24,128,2676,16,216,2376,8,,,,,,
190102,19,6/23/22,2375,40,157,2670,20,228,2674,96,168,2676,16,272,2376,12,,,,,,
190102,19,6/24/22,2375,12,146,2670,44,208,2674,180,132,2676,16,192,2376,32,,,,,,
190102,19,6/27/22,2375,16,207,2670,50,255,2674,67,153,2676,33,234,2376,9,,,,,,
190102,19,6/28/22,2375,32,159,2670,52,252,2674,52,152,2676,44,240,2376,12,,,,,,
190102,19,6/29/22,2375,51,155,2670,47,303,2674,64,175,2676,37,206,2376,39,,,,,,
190102,19,7/1/22,2375,16,151,2670,20,188,2674,196,160,2676,36,194,2376,8,,,,,,
193101,19,6/25/22,2375,13,411,2674,29,135,2676,37,224,2376,52,,,,,,,,,
193101,19,6/26/22,2375,12,149,2670,52,184,2674,44,156,2676,40,204,2376,56,,,,,,
193101,19,7/2/22,2375,16,142,2670,64,208,2674,20,116,2676,36,189,2376,40,,,,,,
193102,19,6/25/22,2375,18,160,2670,56,237,2674,40,131,2676,40,267,2376,8,,,,,,
193102,19,6/25/22,2375,35,156,2670,17,225,2674,37,135,2676,44,212,2376,47,,,,,,
193102,19,6/26/22,2375,12,164,2670,52,216,2674,52,136,2676,16,208,2376,36,,,,,,
